test_image,response,resptime,r/g/b, q, expected, category, size (in Bytes)
women-portrait-blue,1,0.998442,g,64,False,dominant,1395146
colorful-flowers,3,1.356805,b,64,True,bunt,1607054
boy,3,0.76891,b,2,True,ausgeglichen,1967649
women-portrait,3,1.545041,b,32,False,dominant,1451947
parrot-1,4,0.895665,r,2,True,dominant,1476590
boy,4,0.867523,b,32,True,ausgeglichen,1724880
women-portrait-blue,5,0.618633,g,2,False,dominant,1623040
women-portrait-blue,5,1.169944,r,32,False,dominant,1376305
protrait-man,4,1.609959,n,0,False,ausgeglichen,3611150
women-portrait,5,0.720171,r,2,True,dominant,1668639
protrait-man,4,0.548602,r,8,False,ausgeglichen,1027811
landscape-mountains-1,4,1.14262,b,8,True,bunt,1848711
landscape-mountains-1,1,0.985943,g,32,True,bunt,1743767
women-portrait-blue,2,0.965597,g,16,False,dominant,1494707
women-portrait-blue,4,1.649513,b,32,True,dominant,1411735
protrait-man,4,1.220789,b,8,False,ausgeglichen,1019660
parrot-1,2,1.838808,b,64,False,dominant,1245966
buildings-1,2,1.65078,r,32,True,bunt,1501470
women-portrait,4,1.203233,b,8,False,dominant,1566554
parrot-1,2,1.994375,g,16,False,dominant,1361433
parrot-1,1,0.982258,r,32,True,dominant,1283118
women-portrait,4,1.520621,n,0,False,dominant,3612827
sunflower,1,0.956664,g,64,True,dominant,1524907
boy,3,1.02915,b,8,True,ausgeglichen,1846232
women-portrait,1,0.795112,g,32,False,dominant,1478226
buildings-1,3,1.162971,b,8,True,bunt,1620062
women-portrait-blue,5,1.104966,n,0,False,dominant,3611479
boy,5,0.732135,g,8,False,ausgeglichen,1885348
